cnpj,data_base,porte,origem
00025006000113,2020-07-01,SEM PORTE DEFINIDO,Lista ativa
00026686000190,2019-08-01,SEM PORTE DEFINIDO,Lista ativa
00056633000111,2015-08-01,SEM PORTE DEFINIDO,Lista ativa
00063069000164,2021-07-01,Small,Lista ativa
00065584000345,2021-02-01,Very small,Lista ativa
00070112000704,2020-10-01,Middle,Lista ativa
00085885000179,2022-08-01,Small,Lista ativa
00092302000137,2021-04-01,Small,Lista ativa
00092369000171,2019-06-01,Middle,Lista ativa
00101032000183,2022-08-01,Small,Lista ativa
00101878000113,2018-11-01,Very small,Indicação
00124050000180,2022-05-01,Small,Lista ativa
00138907000111,2019-03-01,SEM PORTE DEFINIDO,Lista ativa
00163903000193,2017-09-01,Middle,Lista ativa
00179569000166,2022-05-01,Small,Passiva mkt
00208666000130,2020-12-01,Middle,Lista ativa
00283822000127,2022-03-01,Middle,Lista ativa
00288916000199,2021-09-01,Middle,Lista ativa
00292267000108,2020-07-01,Middle,Lista ativa
00333978000175,2021-01-01,Small,Indicação
00373160000186,2021-07-01,Small,Passiva mkt
00392394000170,2017-12-01,SEM PORTE DEFINIDO,Lista ativa
00395228000128,2021-04-01,Middle,Lista ativa
00456865000167,2020-12-01,Large,Evento
00551775000155,2020-09-01,Small,Lista ativa
00553123000150,2021-11-01,Very Small,Passiva mkt
00565357000117,2020-08-01,Very small,Lista ativa
00569905000187,2021-10-01,Middle,Lista ativa
00612182000151,2020-08-01,Middle,Lista ativa
00640736000124,2019-01-01,Middle,Lista ativa
00668752000125,2020-07-01,Small,Evento
00712911000141,2022-01-01,Large,Lista ativa
00714671000114,2022-10-01,Middle,Lista ativa
00714679000180,2022-02-01,Middle,Lista ativa
00720263000175,2021-06-01,Small,Lista ativa
00729687000443,2021-07-01,Middle,Lista ativa
00732684000116,2020-11-01,Middle,Lista ativa
00738833000154,2022-04-01,Middle,Lista ativa
00810559000187,2015-06-01,Small,Passiva mkt
00823358000114,2020-12-01,Very small,Lista ativa
00830204000150,2022-10-01,Small,Lista ativa
00834971000137,2021-06-01,Middle,Lista ativa
00846686000136,2022-03-01,Small,Lista ativa
00851124000180,2021-05-01,Middle,Links patrocinados
00869830000150,2017-12-01,SEM PORTE DEFINIDO,Lista ativa
00884713000165,2020-05-01,Very small,Lista ativa
00885710000146,2020-09-01,Small,Lista ativa
00888572000159,2020-12-01,Middle,Passiva mkt
00892482000131,2021-07-01,Large,Lista ativa
00918670000191,2019-11-01,Middle,Passiva mkt
00927360000133,2018-06-01,SEM PORTE DEFINIDO,Lista ativa
00999856000112,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
01023164000105,2019-10-01,Middle,Lista ativa
