SpotterId,ID1,NomeEmpresa,RazaoSocial,StatusEmpresa,CadastroEmpresa,TelefoneEmpresa,LimiteUsuarios
4,78614229000103,Multilog,MULTILOG S.A.,Inativo,2015-05-03,,5000
6,04334187000110,Nanovetores,Nanovetores Tecnologia S/A,Inativo,2015-05-08,(48) 3239-2343,5000
7,13281130000191,Neoprospecta,Neoprospecta S/A,Inativo,2015-05-20,,5000
8,79307138000198,ACATE,Acate Assoc Catarinense de Empresas de Tecnologia,Inativo,2015-05-22,,5000
9,81874778000121,CEBRA,Conversores Estáticos Brasileiros Ltda,Inativo,2015-05-25,04821081600,5000
10,14366418000121,Seekr,SEEKR GESTAO E MONITORAMENTO DE MIDIAS SOCIAIS S.A.,Inativo,2015-05-27,(11) 3588-4500 ,5000
11,19540550000121,ASAAS,ASAAS GESTÃO FINANCEIRA S.A.,Inativo,2015-06-05,4796585657,5000
12,02414602000110,Artsoft,ARTSOFT SISTEMAS,Inativo,2015-06-05,,5000
14,09637852000169,Produza,Produza S/A,Inativo,2015-06-08,,5000
15,81019234000182,Antares,ANTARES COMERCIO E SERVIÇOS LTDA ,Inativo,2015-06-11,,5000
16,13494405000175,Moblee,Moblee Tecnologia da Informacao S.A.,Inativo,2015-06-16,(48) 3236-0049,5000
17,05336713000144,Project Builder,PROJECT BUILDER LTDA - EPP,Inativo,2015-06-17,,5000
18,14579393000144,HighLink,High Link Segurança Eletrônica,Ativo,2015-06-23,04830293944,5000
19,09362098000100,PROGIC,PROGIC TECNOLOGIA ELETRôNICA LTDA,Inativo,2015-06-24,48 3024 2704,5000
20,15806919000144,CREATIVE,CREATIVE SOLUTIONS LTDA,Inativo,2015-06-24,,5000
21,15654208000100,MTC,Grupo MTC,Inativo,2015-06-25,1140927712,5000
23,19646084000163,LETT,SUPERMERKATUS SERVICOS DE INFORMACAO LTDA - ME,Inativo,2015-07-06,(48) 3204-8593,5000
