,leadId
0,5198393
1,5219747
2,5202317
3,5261115
4,5186507
5,5193661
6,5274403
7,5269657
8,5185223
9,5191747
10,5193092
11,5226651
12,5188051
13,5255779
14,5185524
15,5203603
16,5244517
17,5226799
18,5227150
19,5235734
20,5340769
21,7539168
22,5229194
23,10250611
24,5367941
25,5207838
26,5212570
27,5229711
28,5245220
29,5187013
30,5258794
31,5263652
32,5189434
33,5191860
34,5201429
35,5226727
36,5231092
37,5232048
38,5235326
39,5245725
40,5246467
41,5246472
42,5251304
43,5360881
44,5237629
45,5400096
46,5470782
47,8370276
48,5262843
49,5206508
50,5185567
51,5221653
52,5466203
53,10165946
54,11969560
55,5218889
56,5225498
57,5231052
58,5233525
59,5251674
60,5270824
61,5362186
62,5367135
63,5190519
64,5193902
65,8906572
66,5185535
67,5185834
68,5186065
69,5186921
70,5186922
71,5191597
72,5198541
73,5235696
74,5380564
75,5380566
76,5391698
77,5472102
78,5233022
79,5246466
80,5258746
81,5258747
82,5366856
83,5306616
84,5228457
85,5250893
86,5235136
87,5288203
88,6371278
89,5226307
90,5229259
91,5231012
92,5231298
93,5231968
94,5268685
95,5351350
96,5368051
97,5368500
98,5258383
99,5187705
100,7509651
101,5216081
102,5187384
103,5185564
104,5198582
105,5230728
106,5380494
107,5380505
108,5380519
109,5380523
110,5380534
111,5380563
112,5380538
113,5380542
114,5380562
115,5380583
116,5380591
117,5380600
118,5380606
119,5380607
120,5380611
121,5380615
122,5380623
123,5380625
124,5380630
125,5380633
126,5380638
127,5380641
128,5380651
129,5380652
130,5380653
131,5380664
132,5380665
133,5380668
134,5380671
135,5380679
136,5380682
137,5380684
138,5380685
139,5380686
140,5380688
141,5380691
142,5380694
143,5380713
144,5380720
145,5380726
146,5380729
147,5380735
148,5380744
149,5380749
150,5380766
151,5380771
152,5380772
153,5380776
154,5380786
155,5380791
156,5380795
157,5380819
158,5380828
159,5380834
160,5380844
161,5380845
162,5380849
163,5380853
164,5380857
165,5380866
166,5380888
167,5380914
168,5380935
169,5380940
170,5380979
171,5381004
172,5381072
173,5381092
174,5381097
175,5381116
176,5381127
177,5381130
178,5381171
179,5381211
180,5381282
181,5381326
182,5381390
183,5381396
184,5381407
185,5381438
186,5381446
187,5381460
188,5381502
189,5381541
190,5381552
191,5381573
192,5381580
193,5381649
194,5381666
195,5381687
196,5381722
197,5381753
198,5381769
199,5381802
200,5381895
201,5381915
202,5382186
203,5382340
204,5382373
205,5382402
206,5382473
207,5382588
208,5382673
209,5382752
210,5382811
211,5382824
212,5382827
213,5382829
214,5382849
215,5382862
216,5382870
217,5382878
218,5382881
219,5382884
220,5382890
221,5382894
222,5382912
223,5382954
224,5382958
225,5382997
226,5383036
227,5383063
228,5383093
229,5383116
230,5383167
231,5383179
232,5383204
233,5383221
234,5383228
235,5383232
236,5383339
237,5383350
238,5383412
239,5383437
240,5383482
241,5383546
242,5383558
243,5383567
244,5383604
245,5383608
246,5383611
247,5383627
248,5383635
249,5383647
250,5383653
251,5383743
252,5383749
253,5383772
254,5383775
255,5383799
256,5383825
257,5383831
258,5383839
259,5383863
260,5383870
261,5383877
262,5383884
263,5383891
264,5383910
265,5383914
266,5383926
267,5383942
268,5383961
269,5383966
270,5383984
271,5383996
272,5384012
273,5384016
274,5384025
275,5384067
276,5384081
277,5384099
278,5384103
279,5384125
280,5384148
281,5384153
282,5384201
283,5384206
284,5384268
285,5384358
286,5384381
287,5384425
288,5384471
289,5384482
290,5384492
291,5384494
292,5384502
293,5384503
294,5384522
295,5384523
296,5384559
297,5384571
298,5384583
299,5384585
300,5384587
301,5384593
302,5384596
303,5384600
304,5384609
305,5384610
306,5384611
307,5384613
308,5384622
309,5384627
310,5384628
311,5384632
312,5384638
313,5384640
314,5384647
315,5384649
316,5384657
317,5384677
318,5384684
319,5384721
320,5384726
321,5384745
322,5384746
323,5384748
324,5384758
325,5384759
326,5384819
327,5384821
328,5384824
329,5384836
330,5384859
331,5384916
332,5384921
333,5384924
334,5384926
335,5384930
336,5384937
337,5384951
338,5384957
339,5384959
340,5384978
341,5385003
342,5385004
343,5385006
344,5385015
345,5385017
346,5385020
347,5385021
348,5385040
349,5385041
350,5385044
351,5385051
352,5385058
353,5385072
354,5385082
355,5385086
356,5385089
357,5385103
358,5385109
359,5385113
360,5385131
361,5385132
362,5385140
363,5385142
364,5385155
365,5385167
366,5385186
367,5385187
368,5385188
369,5385190
370,5385192
371,5385206
372,5385216
373,5385219
374,5385220
375,5385226
376,5385230
377,5385231
378,5385241
379,5385243
380,5385244
381,5385245
382,5385248
383,5385262
384,5385268
385,5385277
386,5385281
387,5385296
388,5385323
389,5385324
390,5385338
391,5385340
392,5385376
393,5385386
394,5385387
395,5385424
396,5385432
397,5385447
398,5385451
399,5385455
400,5385469
401,5385493
402,5385499
403,5385503
404,5385529
405,5385531
406,5385533
407,5385571
408,5385593
409,5385601
410,5385605
411,5385676
412,5385680
413,5385687
414,5385700
415,5385701
416,5385704
417,5385706
418,5385707
419,5385715
420,5385718
421,5385720
422,5385723
423,5385730
424,5385733
425,5385746
426,5385747
427,5385751
428,5385754
429,5385760
430,5385764
431,5385769
432,5385773
433,5385777
434,5385781
435,5385783
436,5385786
437,5385788
438,5385789
439,5385792
440,5385797
441,5385811
442,5385816
443,5385823
444,5385825
445,5385839
446,5385849
447,5385853
448,5385854
449,5385865
450,5385869
451,5385877
452,5385878
453,5385880
454,5385883
455,5385891
456,5385896
457,5385907
458,5385913
459,5385914
460,5385919
461,5385944
462,5385945
463,5386009
464,5386012
465,5386024
466,5386045
467,5386046
468,5386048
469,5386050
470,5386052
471,5386053
472,5386056
473,5386065
474,5386066
475,5386067
476,5386068
477,5386069
478,5386070
479,5386071
480,5386072
481,5386073
482,5386074
483,5386075
484,5386076
485,5386077
486,5386082
487,5386084
488,5386085
489,5386087
490,5386088
491,5386089
492,5386090
493,5386091
494,5386092
495,5386093
496,5386094
497,5386095
498,5386096
499,5386097
500,5386100
501,5386133
502,5386139
503,5386167
504,5386171
505,5386172
506,5386183
507,5386189
508,5386190
509,5386220
510,5386237
511,5386238
512,5386244
513,5386253
514,5386257
515,5386271
516,5386278
517,5386288
518,5386293
519,5386326
520,5386330
521,5386331
522,5386348
523,5386352
524,5386358
525,5386362
526,5386372
527,5386380
528,5386390
529,5386400
530,5386415
531,5386434
532,5386435
533,5386442
534,5386448
535,5386452
536,5386462
537,5386467
538,5386494
539,5386497
540,5386511
541,5386519
542,5386522
543,5386532
544,5386555
545,5386559
546,5386587
547,5386603
548,5386604
549,5386608
550,5386632
551,5386643
552,5386646
553,5386684
554,5386713
555,5386718
556,5386773
557,5386816
558,5386862
559,5386884
560,5386890
561,5386901
562,5386914
563,5386928
564,5386934
565,5386938
566,5386940
567,5386944
568,5386952
569,5386953
570,5386967
571,5386988
572,5387005
573,5387030
574,5387052
575,5387077
576,5387078
577,5387082
578,5387089
579,5387097
580,5387135
581,5387148
582,5387149
583,5387164
584,5387165
585,5387185
586,5387192
587,5387193
588,5387241
589,5387245
590,5387262
591,5387266
592,5387270
593,5387273
594,5387274
595,5387330
596,5387341
597,5387352
598,5387395
599,5387421
600,5387432
601,5387447
602,5387452
603,5387467
604,5387468
605,5387483
606,5387493
607,5387505
608,5387508
609,5387533
610,5387579
611,5387599
612,5387605
613,5387613
614,5387624
615,5387626
616,5387634
617,5387646
618,5387651
619,5387658
620,5387659
621,5387661
622,5387663
623,5387666
624,5387672
625,5387674
626,5387680
627,5387692
628,5387706
629,5387708
630,5387710
631,5387717
632,5387737
633,5387739
634,5387757
635,5387758
636,5387778
637,5387779
638,5387783
639,5387803
640,5387804
641,5387812
642,5387844
643,5387845
644,5387872
645,5387878
646,5387888
647,5387891
648,5387892
649,5387911
650,5387926
651,5387934
652,5387941
653,5388039
654,5388041
655,5388053
656,5388070
657,5389089
658,5389092
659,5389109
660,5389130
661,5389136
662,5389147
663,5389150
664,5389157
665,5389181
666,5389213
667,5389231
668,5389232
669,5389249
670,5389275
671,5389307
672,5389320
673,5389325
674,5389348
675,5389377
676,5389378
677,5389383
678,5389389
679,5389407
680,5389459
681,5389468
682,5389469
683,5389485
684,5389489
685,5389521
686,5389559
687,5389560
688,5389562
689,5389566
690,5389568
691,5389586
692,5389589
693,5389590
694,5389618
695,5389620
696,5389668
697,5389679
698,5389687
699,5389713
700,5389743
701,5389793
702,5389795
703,5389803
704,5389816
705,5389836
706,5389838
707,5389846
708,5389871
