ID,CNPJ,RAZAO
1,10722640,"FERCOPY, INC"
2,834486617,JEM SECURITY LLC
3,9006784221,REWEB FACTURE MAS CON INTERNET SAS
4,30500106316,LA LEY SOCIEDAD ANONIMA EDITORA E IMPRESORA
8,63069000164,STAR INFO SERVICOS DE INFORMATICA LTDA
10,89877000109,TECLOGICA SERVICOS EM INFORMATICA LTDA
14,101878000113,WLE DESENVOLVIMENTO DE SOFTWARES E ASSESSORIA LTDA
27,764452000140,UMOV.ME TECNOLOGIA S.A.
34,910509000171,THOMSON REUTERS BRASIL CONTEUDO E TECNOLOGIA LTDA
35,918670000191,SIGNA CONSULTORIA E SISTEMAS LTDA
37,1023164000105,NEXO CS INFORMATICA S/A
12,97036000135,SOLUTION ELETROELETRONICA LTDA
49,1415517000104,DINAMIO TECNOLOGIA LTDA
51,1426365000145,LEBLON TECNOLOGIA E COMPUTADORES LTDA
52,1468594000122,LG INFORMATICA S/A
60,1664949000159,GLOBALTEC S/A
62,1722935000144,S-TECHNIK INDUSTRIA E COMERCIO LTDA
66,1808382000147,CDS - INFORMATICA LTDA
70,1969493000135,CENTERSUL INFORMATICA LTDA
72,2029749000197,LECS INFORMATICA EIRELI
74,2045747000191,LINSOFT INFORMATICA LTDA
22,668752000125,NEOPRENE BRASIL LTDA
79,2157629000175,PROCOLOR PRODUTOS E SERVICOS DIGITAIS EIRELI
82,2250586000178,SOFTDESIGN - CONSULTORIA E SISTEMAS LTDA
89,2335970000173,WEBSIS TECNOLOGIA E SISTEMAS LTDA
96,2531343000108,ADSERVI - ADMINISTRADORA DE SERVICOS LTDA
108,2879250000179,ATENTO BRASIL S/A
110,2890199000104,NIMBI S.A.
29,808152000115,VISUAL SYSTEMS INFORMATICA LTDA
115,3090985000181,NGR CONSULTORIA EM INFORMATICA LTDA
31,830204000150,ICONELOG TRANSPORTES LTDA
32,865599000126,XAVIER CAMARGO ADMINISTRADORA DE IMOVEIS S/S LTDA
33,884713000165,NEWFOCUS SISTEMAS LTDA
116,3112879000151,SASCAR TECNOLOGIA E SEGURANÇA AUTOMOTIVA S.A
121,3238983000197,MAXHOTEL SOLUCOES INTEGRADAS PARA HOTELARIA LTDA
36,959743000193,OPEN-5 LTDA
124,3353696000128,LHC INFORMATICA LTDA
134,3602144000106,LANDIX SISTEMAS LTDA
39,1163538000180,ONDULINE DO BRASIL LTDA.
142,3721993000189,METASIG TECNOLOGIA DE INFORMACAO LTDA
150,3916076000150,ZUCCHETTI SOFTWARE E SISTEMAS LTDA
157,4065791000199,SINQIA S.A.
166,4231268000195,RW TECNOLOGIA INDUSTRIA E COMERCIO LTDA
