cnpj,data_base,mes,logo
00025006000113,2020-07-01,1,1
00025006000113,2020-07-01,2,1
00026686000190,2019-08-01,1,1
00026686000190,2019-08-01,2,1
00026686000190,2019-08-01,3,1
00026686000190,2019-08-01,4,1
00026686000190,2019-08-01,5,1
00026686000190,2019-08-01,6,1
00026686000190,2019-08-01,7,1
00026686000190,2019-08-01,8,1
00056633000111,2015-08-01,1,1
00056633000111,2015-08-01,2,1
00056633000111,2015-08-01,3,1
00056633000111,2015-08-01,4,1
00056633000111,2015-08-01,5,1
00056633000111,2015-08-01,6,1
00056633000111,2015-08-01,7,1
00056633000111,2015-08-01,8,1
00056633000111,2015-08-01,9,1
00056633000111,2015-08-01,10,1
00056633000111,2015-08-01,11,1
00056633000111,2015-08-01,12,1
00056633000111,2015-08-01,13,1
00056633000111,2015-08-01,14,1
00056633000111,2015-08-01,15,1
00056633000111,2015-08-01,16,1
00056633000111,2015-08-01,17,1
00056633000111,2015-08-01,18,1
00056633000111,2015-08-01,19,1
00056633000111,2015-08-01,20,1
00056633000111,2015-08-01,21,1
00056633000111,2015-08-01,22,1
00056633000111,2015-08-01,23,1
00056633000111,2015-08-01,24,1
00056633000111,2015-08-01,25,1
00056633000111,2015-08-01,26,1
00056633000111,2015-08-01,27,1
00056633000111,2015-08-01,28,1
00056633000111,2015-08-01,29,1
00056633000111,2015-08-01,30,1
00056633000111,2015-08-01,31,1
00056633000111,2015-08-01,32,1
00056633000111,2015-08-01,33,1
00056633000111,2015-08-01,34,1
00056633000111,2015-08-01,35,1
00056633000111,2015-08-01,36,1
00056633000111,2015-08-01,37,1
00056633000111,2015-08-01,38,1
00056633000111,2015-08-01,39,1
00056633000111,2015-08-01,40,1
00056633000111,2015-08-01,41,1
00056633000111,2015-08-01,42,1
00056633000111,2015-08-01,43,1
00056633000111,2015-08-01,44,1
00056633000111,2015-08-01,45,1
00056633000111,2015-08-01,46,1
00056633000111,2015-08-01,47,1
00056633000111,2015-08-01,48,1
00056633000111,2015-08-01,49,1
00056633000111,2015-08-01,50,1
00056633000111,2015-08-01,51,1
00056633000111,2015-08-01,52,1
00056633000111,2015-08-01,53,1
00056633000111,2015-08-01,54,1
00063069000164,2021-07-01,1,1
00063069000164,2021-07-01,2,1
00063069000164,2021-07-01,3,1
00063069000164,2021-07-01,4,1
00063069000164,2021-07-01,5,1
00063069000164,2021-07-01,6,1
00063069000164,2021-07-01,7,1
00063069000164,2021-07-01,8,1
00063069000164,2021-07-01,9,1
00063069000164,2021-07-01,10,1
00063069000164,2021-07-01,11,1
00063069000164,2021-07-01,12,1
00063069000164,2021-07-01,13,1
00063069000164,2021-07-01,14,1
00063069000164,2021-07-01,15,1
00063069000164,2021-07-01,16,1
00065584000345,2021-02-01,1,1
00065584000345,2021-02-01,2,1
00065584000345,2021-02-01,3,1
00065584000345,2021-02-01,4,1
00065584000345,2021-02-01,5,1
00065584000345,2021-02-01,6,1
00065584000345,2021-02-01,7,1
00065584000345,2021-02-01,8,1
00065584000345,2021-02-01,9,1
00065584000345,2021-02-01,10,1
00065584000345,2021-02-01,11,1
00065584000345,2021-02-01,12,1
00065584000345,2021-02-01,13,1
00065584000345,2021-02-01,14,1
00065584000345,2021-02-01,15,1
00070112000704,2020-10-01,1,1
00070112000704,2020-10-01,2,1
00070112000704,2020-10-01,3,1
00070112000704,2020-10-01,4,1
00070112000704,2020-10-01,5,1
00070112000704,2020-10-01,6,1
00070112000704,2020-10-01,7,1
00070112000704,2020-10-01,8,1
00070112000704,2020-10-01,9,1
00070112000704,2020-10-01,10,1
00070112000704,2020-10-01,11,1
00070112000704,2020-10-01,12,1
00070112000704,2020-10-01,13,1
00070112000704,2020-10-01,14,1
00070112000704,2020-10-01,15,1
00070112000704,2020-10-01,16,1
00070112000704,2020-10-01,17,1
00070112000704,2020-10-01,18,1
00070112000704,2020-10-01,19,1
00070112000704,2020-10-01,20,1
00070112000704,2020-10-01,21,1
00070112000704,2020-10-01,22,1
00070112000704,2020-10-01,23,1
00085885000179,2022-08-01,1,1
00085885000179,2022-08-01,2,1
00085885000179,2022-08-01,3,1
00092302000137,2021-04-01,1,1
00092302000137,2021-04-01,2,1
00092302000137,2021-04-01,3,1
00092302000137,2021-04-01,4,1
00092302000137,2021-04-01,5,1
00092302000137,2021-04-01,6,1
00092302000137,2021-04-01,7,1
00092302000137,2021-04-01,8,1
00092302000137,2021-04-01,9,1
00092302000137,2021-04-01,10,1
00092302000137,2021-04-01,11,1
00092302000137,2021-04-01,12,1
00092302000137,2021-04-01,13,1
00092302000137,2021-04-01,14,1
00092302000137,2021-04-01,15,1
00092302000137,2021-04-01,16,1
00092302000137,2021-04-01,17,1
00092302000137,2021-04-01,18,1
00092302000137,2021-04-01,19,1
00092369000171,2019-06-01,1,1
00092369000171,2019-06-01,2,1
00092369000171,2019-06-01,3,1
00092369000171,2019-06-01,4,1
00092369000171,2019-06-01,5,1
00092369000171,2019-06-01,6,1
00092369000171,2019-06-01,7,1
00092369000171,2019-06-01,8,1
00092369000171,2019-06-01,9,1
00092369000171,2019-06-01,10,1
00092369000171,2019-06-01,11,1
00092369000171,2019-06-01,12,1
00092369000171,2019-06-01,13,1
00092369000171,2019-06-01,14,1
00092369000171,2019-06-01,15,1
00092369000171,2019-06-01,16,1
00092369000171,2019-06-01,17,1
00092369000171,2019-06-01,18,1
00101032000183,2022-08-01,1,1
00101032000183,2022-08-01,2,1
00101032000183,2022-08-01,3,1
00101878000113,2018-11-01,1,1
00101878000113,2018-11-01,2,1
00101878000113,2018-11-01,3,1
00101878000113,2018-11-01,4,1
00101878000113,2018-11-01,5,1
00101878000113,2018-11-01,6,1
00101878000113,2018-11-01,7,1
00124050000180,2022-05-01,1,1
00124050000180,2022-05-01,2,1
00124050000180,2022-05-01,3,1
00124050000180,2022-05-01,4,1
00124050000180,2022-05-01,5,1
00124050000180,2022-05-01,6,1
00138907000111,2019-03-01,1,1
00138907000111,2019-03-01,2,1
00138907000111,2019-03-01,3,1
00138907000111,2019-03-01,4,1
00138907000111,2019-03-01,5,1
00138907000111,2019-03-01,6,1
00163903000193,2017-09-01,1,1
00163903000193,2017-09-01,2,1
00163903000193,2017-09-01,3,1
00163903000193,2017-09-01,4,1
00163903000193,2017-09-01,5,1
00163903000193,2017-09-01,6,1
00163903000193,2017-09-01,7,1
00163903000193,2017-09-01,8,1
00163903000193,2017-09-01,9,1
00163903000193,2017-09-01,10,1
00163903000193,2017-09-01,11,1
00163903000193,2017-09-01,12,1
00163903000193,2017-09-01,13,1
00163903000193,2017-09-01,14,1
00163903000193,2017-09-01,15,1
00163903000193,2017-09-01,16,1
00163903000193,2017-09-01,17,1
00163903000193,2017-09-01,18,1
00179569000166,2022-05-01,1,1
00179569000166,2022-05-01,2,1
00179569000166,2022-05-01,3,1
00208666000130,2020-12-01,1,1
