Id Spotter,CNPJ,Razão Social,Status,Data base,Data churn,LT (Meses),MRR Inicial,MRR Total (Atual),Spotter (R$),Comunicação (R$),Searching (R$),Exact Club (R$),Nº de Funcionarios Linkedin (Sobre),Nº funcionarios Conectados Linkedin,Link do LinkedIn,Porte (ajustado),Porte da Empresa segundo Receita Federal,Porte da Empresa segundo base de dados do Searching,Mercado,Sub setor,Leads em entrada,Agendamentos,Vendas,Cadencia ativa,Workflow ativo,Atividades concluidas,Numero de usuáros,Integração Inbound,Integração CRM,Minutos telefonia,Origem,Upsell (Sim / Não),Upsell (Nº),Upsell (R$),Downsell (Sim/Não),Downsell (Nº),Downsell (R$),Tipo de contrato,CNPJ
10849,06.065.614/0001-38,SUPERMEDICA DISTRIBUIDORA HOSPITALAR EIRELI,Churn,01/07/2021,10/10/2021,3,1215,1215,,,,,51-200,15,www.linkedin.com/company/supermedica-hospitalar/about/,Middle,DEMAIS,ME,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,0,0,0,0,0,5,,,0,ListasAtivas,Não,0,0,,,,MENSAL,6065614000138
11065,34.052.520/0001-60,AC SOLAR ENGENHARIA LTDA,Ativo,01/09/2021,,14,1277,1277,759,199,319,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Gás e Energia,,0,1,0,0,8,0,5,,,0,Site,Não,0,0,,,,SEMESTRAL,34052520000160
11732,14.573.836/0001-90,TV EQUINOCIO COMUNICACOES LTDA,Ativo,01/02/2022,,9,1164,1164,796,299,69,,Não Tem,Não Tem,Não Tem,Small,EPP,EPP,Serviços - Informação e Comunicação,,0,"3,666666667","1,25",0,12,"13,71428571",5,,,"21,5",ListasAtivas,Não,0,0,,,,MENSAL,14573836000190
11751,26.914.386/0001-30,VSX CORRETORA DE SEGUROS LTDA,Churn,01/01/2022,27/07/2022,6,"1326,9","1326,9",,,,,11-50,30,https://www.linkedin.com/company/sydharta-seguros,Small,ME,ME,Serviços - Corretoras de seguro e seguradoras,,0,3,"1,5",0,2,116,11,,Agendor,"205,3333333",ListasAtivas,Não,0,0,,,,SEMESTRAL,26914386000130
11756,31.599.549/0001-78,BRASIL ENERGIA SOLAR LTDA,Churn,01/01/2022,20/08/2022,7,1128,1128,,,,,Não Tem,Não Tem,Não Tem,Small,EPP,ME,Gás e Energia,,0,1,0,1,4,"136,4",5,,,"89,5",BDR,Não,0,0,,,,SEMESTRAL,31599549000178
11774,18.809.336/0001-65,CARDOSO E LINS SERVICOS DOMESTICOS LTDA,Churn,01/02/2022,01/06/2022,4,646,646,,,,,51-200,15,https://www.linkedin.com/company/zelar-solucoes-em-limpeza/about/,Middle,ME,EPP,Serviços - Administrativos e serviços complementares,,0,2,0,0,4,"3,5",5,,,72,BDR,Não,0,0,,,,ANUAL,18809336000165
11822,10.348.741/0001-11,D R G COMERCIO DE INFORMATICA E REFRIGERACAO LTDA,Churn,01/02/2022,05/11/2022,9,809,809,759,0,50,,11-50,39,linkedin.com/company/solusit/,Small,ME,ME,Serviços - Tecnologia da Informação,,0,"2,333333333",1,0,8,1,13,,,0,CoMKTConteúdo,Não,0,0,,,,SEMESTRAL,10348741000111
11852,17.188.852/0001-57,PROMOVE MARKETING E PROPAGANDA LTDA,Churn,01/02/2022,11/08/2022,6,"615,9","615,9",,,,,2-10,3,https://www.linkedin.com/company/promoveideias/about/,Very small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,"1,25",1,9,10,30,4,RDStation,RDStationCRM,57,EventodeTerceiros,Não,0,0,,,,ANUAL,17188852000157
11903,07.695.627/0001-53,INFORTECH INFORMATICA EIRELI,Ativo,01/03/2022,,8,1047,1047,699,199,149,,51-200,16,https://www.linkedin.com/company/infortech-tecnologias/about/,Middle,DEMAIS,EMP,"Serviços - Desenvolvimento de softwares, sistemas e apps",,0,"6,75",2,0,12,20,9,,,25,BDR,Não,0,0,,,,ANUAL,7695627000153
12100,36.153.457/0001-83,A C M DE ANDRADE LTDA,Churn,01/04/2022,09/06/2022,2,"1363,9","1363,9",,,,,51-200,38,https://www.linkedin.com/company/seubone/about/?originalSubdomain=br,Middle,ME,ME,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,0,0,0,1,4,0,4,,,0,ListasAtivas,Não,0,0,,,,MENSAL,36153457000183
12110,44.743.143/0001-69,SOLVE COMERCIO E SERVIÇOS LTDA,Ativo,01/04/2022,,7,"1426,9","1426,9",759,"348,9",319,,11-50,10,https://www.linkedin.com/company/marko-solution/,Small,ME,DEM,Serviços - Tecnologia da Informação,,0,1,0,0,0,0,8,,,0,BDR,Não,0,0,,,,SEMESTRAL,44743143000169
12120,32.053.107/0001-94,AGISPEC ADMINISTRADORA E CONSULTORA DE NEGOCIOS LTDA,Ativo,01/04/2022,,7,1144,1144,796,199,149,,11-50,9,https://www.linkedin.com/company/agispec/about/,Small,ME,ME,"Serviços - Jurídicos, de advocacia, contabilidade ou auditoria",,0,"3,4",1,0,12,"418,75",5,,,"511,25",Site,Não,0,0,,,,MENSAL,32053107000194
