cnpj,filtro1,agendamentos,vendas,cadencias,workflows,searching,ligacoes,whatsapp,buscador,exact_club,mkt,crm
0,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
 01593428000158,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
 05314972000417,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
 07822742000141,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
 30523593000131,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
 31292678000119,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00021425000187,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00025006000113,1.0,0.0,0.0,2.0,0,0.0,0.0,False,0.0,False,False,False
00026686000190,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
00028876000146,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00048249000177,300.0,147.0,21.0,0.0,10,0.0,2945.0,False,0.0,False,False,False
00048249000177,300.0,147.0,21.0,0.0,10,0.0,8106.0,False,0.0,False,False,False
00056633000111,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00063069000164,1.0,57.0,3.0,0.0,18,3057.0,16918.0,False,10.0,True,False,False
00065584000345,1.0,21.0,5.0,0.0,3,554.0,93.0,False,0.0,False,False,False
00070112000704,2.0,0.0,7.0,0.0,12,0.0,0.0,False,0.0,False,False,False
00070112000704,2.0,0.0,7.0,0.0,12,0.0,6108.0,False,0.0,False,False,False
00085885000179,1.0,10.0,0.0,2.0,13,286.0,1288.0,False,35.4,False,False,False
00087731000116,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00089845000103,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00089877000109,1355.0,390.0,39.0,0.0,5,0.0,812.0,False,0.0,False,False,False
00089877000109,1355.0,390.0,39.0,0.0,5,0.0,1889.0,False,0.0,False,False,False
00089877000109,1355.0,390.0,39.0,0.0,5,0.0,0.0,False,0.0,False,False,False
00092302000137,94.0,36.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
00092302000137,94.0,36.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,True
00092302000137,94.0,36.0,0.0,0.0,3,0.0,0.0,False,0.0,False,True,False
00092302000137,94.0,36.0,0.0,0.0,3,0.0,0.0,False,0.0,False,True,True
00092369000171,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
00097036000135,2.0,16.0,3.0,2.0,22,19.0,0.0,False,0.0,False,False,False
00097036000135,2.0,16.0,3.0,2.0,22,19.0,5670.0,False,0.0,False,False,False
00099845000186,1.0,192.0,253.0,1.0,2,0.0,6561.0,True,0.0,False,True,False
00101032000183,1.0,0.0,0.0,0.0,2,724.0,75.0,False,0.2,False,False,False
00101878000113,2.0,0.0,1.0,0.0,8,169.0,0.0,False,0.2,True,False,False
00101878000113,2.0,0.0,1.0,0.0,8,169.0,630.0,False,0.2,True,False,False
00121647000171,1.0,0.0,0.0,1.0,0,0.0,0.0,False,0.0,False,False,False
00124050000180,1.0,0.0,6.0,1.0,0,0.0,761.0,False,0.0,False,False,False
00138349000194,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00138907000111,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
